2025-10-22 11:09:08,644 | INFO | httpx | HTTP Request: GET https://guxpjrwgborfbxkgrnrk.supabase.co/rest/v1/answers?select=latency_ms&created_at=gte.2025-10-21T10%3A09%3A06.209901%2B00%3A00 "HTTP/2 200 OK"
2025-10-22 11:09:08,857 | INFO | httpx | HTTP Request: GET https://guxpjrwgborfbxkgrnrk.supabase.co/rest/v1/answers?select=similarity&created_at=gte.2025-10-21T10%3A09%3A06.209901%2B00%3A00 "HTTP/2 200 OK"
2025-10-22 11:09:09,056 | INFO | httpx | HTTP Request: GET https://guxpjrwgborfbxkgrnrk.supabase.co/rest/v1/answers?select=top_k&created_at=gte.2025-10-21T10%3A09%3A06.209901%2B00%3A00 "HTTP/2 200 OK"
2025-10-22 11:09:09,260 | INFO | httpx | HTTP Request: GET https://guxpjrwgborfbxkgrnrk.supabase.co/rest/v1/answers?select=safe_answer&created_at=gte.2025-10-21T10%3A09%3A06.209901%2B00%3A00 "HTTP/2 200 OK"
2025-10-22 11:09:09,277 | INFO | uvicorn.access | 127.0.0.1:22015 - "GET /api/admin/stats HTTP/1.1" 200
2025-10-22 11:09:09,378 | INFO | httpx | HTTP Request: GET https://guxpjrwgborfbxkgrnrk.supabase.co/rest/v1/documents?select=id "HTTP/2 200 OK"
2025-10-22 11:09:09,505 | INFO | httpx | HTTP Request: GET https://guxpjrwgborfbxkgrnrk.supabase.co/rest/v1/documents?select=id&created_at=gte.2025-10-15T10%3A09%3A09.284309%2B00%3A00 "HTTP/2 200 OK"
2025-10-22 11:09:09,603 | INFO | httpx | HTTP Request: GET https://guxpjrwgborfbxkgrnrk.supabase.co/rest/v1/documents?select=id&indexed=eq.True "HTTP/2 200 OK"
2025-10-22 11:09:09,741 | INFO | httpx | HTTP Request: GET https://guxpjrwgborfbxkgrnrk.supabase.co/rest/v1/documents?select=id&indexed=eq.True&indexed_at=gte.2025-10-15T10%3A09%3A09.284309%2B00%3A00 "HTTP/2 200 OK"
2025-10-22 11:09:09,857 | INFO | httpx | HTTP Request: GET https://guxpjrwgborfbxkgrnrk.supabase.co/rest/v1/documents?select=id "HTTP/2 200 OK"
2025-10-22 11:09:09,954 | INFO | httpx | HTTP Request: GET https://guxpjrwgborfbxkgrnrk.supabase.co/rest/v1/documents?select=id&created_at=gte.2025-10-15T10%3A09%3A09.284309%2B00%3A00 "HTTP/2 200 OK"
2025-10-22 11:09:10,060 | INFO | httpx | HTTP Request: GET https://guxpjrwgborfbxkgrnrk.supabase.co/rest/v1/messages?select=id&created_at=gte.2025-10-21T10%3A09%3A09.284309%2B00%3A00 "HTTP/2 200 OK"
2025-10-22 11:09:10,155 | INFO | httpx | HTTP Request: GET https://guxpjrwgborfbxkgrnrk.supabase.co/rest/v1/sessions?select=user_id&started_at=gte.2025-10-21T10%3A09%3A09.284309%2B00%3A00 "HTTP/2 200 OK"
2025-10-22 11:09:10,267 | INFO | httpx | HTTP Request: GET https://guxpjrwgborfbxkgrnrk.supabase.co/rest/v1/sessions?select=started_at%2Cended_at&started_at=gte.2025-10-21T10%3A09%3A09.284309%2B00%3A00 "HTTP/2 200 OK"
2025-10-22 11:09:10,384 | INFO | httpx | HTTP Request: GET https://guxpjrwgborfbxkgrnrk.supabase.co/rest/v1/answers?select=latency_ms&created_at=gte.2025-10-21T10%3A09%3A09.284309%2B00%3A00 "HTTP/2 200 OK"
2025-10-22 11:09:10,495 | INFO | httpx | HTTP Request: GET https://guxpjrwgborfbxkgrnrk.supabase.co/rest/v1/answers?select=similarity&created_at=gte.2025-10-21T10%3A09%3A09.284309%2B00%3A00 "HTTP/2 200 OK"
2025-10-22 11:09:10,625 | INFO | httpx | HTTP Request: GET https://guxpjrwgborfbxkgrnrk.supabase.co/rest/v1/answers?select=top_k&created_at=gte.2025-10-21T10%3A09%3A09.284309%2B00%3A00 "HTTP/2 200 OK"
2025-10-22 11:09:10,721 | INFO | httpx | HTTP Request: GET https://guxpjrwgborfbxkgrnrk.supabase.co/rest/v1/answers?select=safe_answer&created_at=gte.2025-10-21T10%3A09%3A09.284309%2B00%3A00 "HTTP/2 200 OK"
2025-10-22 11:09:10,724 | INFO | uvicorn.access | 127.0.0.1:22015 - "GET /api/admin/stats HTTP/1.1" 200
2025-10-22 11:09:12,767 | INFO | uvicorn.access | 127.0.0.1:22015 - "GET /api/ask/sessions?limit=500&offset=0 HTTP/1.1" 404
2025-10-22 11:09:12,778 | INFO | uvicorn.access | 127.0.0.1:22015 - "GET /api/ask/sessions?limit=500&offset=0 HTTP/1.1" 404
2025-10-22 11:12:28,530 | INFO | uvicorn.error | Shutting down
2025-10-22 11:12:28,659 | INFO | uvicorn.error | Waiting for application shutdown.
2025-10-22 11:12:28,759 | INFO | chatbot_rag.main | Shutting down app.
2025-10-22 11:12:28,771 | INFO | uvicorn.error | Application shutdown complete.
2025-10-22 11:12:28,784 | INFO | uvicorn.error | Finished server process [15792]
2025-10-22 11:13:05,847 | INFO | uvicorn.error | Started server process [8152]
2025-10-22 11:13:05,849 | INFO | uvicorn.error | Waiting for application startup.
2025-10-22 11:13:07,225 | INFO | httpx | HTTP Request: POST https://api.groq.com/openai/v1/chat/completions "HTTP/1.1 200 OK"
2025-10-22 11:13:07,407 | INFO | chatbot_rag.main | Data dirs: ['C:\\Users\\lenovo\\Desktop\\LA_FAC\\PFE-orange\\ChatBot\\backend\\data\\raw', 'C:\\Users\\lenovo\\Desktop\\LA_FAC\\PFE-orange\\ChatBot\\backend\\data\\processed', 'C:\\Users\\lenovo\\Desktop\\LA_FAC\\PFE-orange\\ChatBot\\backend\\data\\index', 'C:\\Users\\lenovo\\Desktop\\LA_FAC\\PFE-orange\\ChatBot\\backend\\data\\runtime']
2025-10-22 11:13:07,609 | INFO | chatbot_rag.main | FAISS index present at C:\Users\lenovo\Desktop\LA_FAC\PFE-orange\ChatBot\backend\data\index\faiss.index.
2025-10-22 11:13:07,622 | INFO | uvicorn.error | Application startup complete.
2025-10-22 11:16:30,829 | INFO | uvicorn.error | Shutting down
2025-10-22 11:16:30,968 | INFO | uvicorn.error | Waiting for application shutdown.
2025-10-22 11:16:31,053 | INFO | chatbot_rag.main | Shutting down app.
2025-10-22 11:16:31,100 | INFO | uvicorn.error | Application shutdown complete.
2025-10-22 11:16:31,102 | INFO | uvicorn.error | Finished server process [8152]
2025-10-22 11:18:12,560 | INFO | uvicorn.error | Started server process [16496]
2025-10-22 11:18:12,561 | INFO | uvicorn.error | Waiting for application startup.
2025-10-22 11:18:13,353 | INFO | httpx | HTTP Request: POST https://api.groq.com/openai/v1/chat/completions "HTTP/1.1 200 OK"
2025-10-22 11:18:13,379 | INFO | chatbot_rag.main | Data dirs: ['C:\\Users\\lenovo\\Desktop\\LA_FAC\\PFE-orange\\ChatBot\\backend\\data\\raw', 'C:\\Users\\lenovo\\Desktop\\LA_FAC\\PFE-orange\\ChatBot\\backend\\data\\processed', 'C:\\Users\\lenovo\\Desktop\\LA_FAC\\PFE-orange\\ChatBot\\backend\\data\\index', 'C:\\Users\\lenovo\\Desktop\\LA_FAC\\PFE-orange\\ChatBot\\backend\\data\\runtime']
2025-10-22 11:18:13,382 | INFO | chatbot_rag.main | FAISS index present at C:\Users\lenovo\Desktop\LA_FAC\PFE-orange\ChatBot\backend\data\index\faiss.index.
2025-10-22 11:18:13,384 | INFO | uvicorn.error | Application startup complete.
2025-10-22 11:18:20,550 | INFO | chatbot_rag.main | Running first-request warmup (FAISS ensure/build, optional emb+LLM)…
2025-10-22 11:18:20,556 | INFO | chatbot_rag.main | Warmup result: {'faiss': {'skipped': True, 'reason': 'index already present'}, 'embeddings': {'skipped': True}, 'llm': {'skipped': True}}
2025-10-22 11:18:20,572 | INFO | uvicorn.access | 127.0.0.1:21502 - "GET /api/auth/me HTTP/1.1" 200
2025-10-22 11:18:20,591 | INFO | uvicorn.access | 127.0.0.1:21502 - "GET /api/auth/me HTTP/1.1" 200
